SiteCode,PlotName,Year,CoverType,CoverCode,med_elev,num_counts,samp_counts,pct_freq
BASHAR,T1,2018,Rock,ROCK,4.340922107,19,153,12.41830065
BASHAR,T1,2018,Crustose non-coralline,NONCOR,3.389421828,14,153,9.150326797
BASHAR,T1,2018,Water,WATER,4.404461151,4,153,2.614379085
BASHAR,T1,2018,Bolt,BOLT,4.107183332,2,153,1.307189542
BASHAR,T1,2018,Other Algae - Green,ALGGRE,3.823654328,7,153,4.575163399
BASHAR,T1,2018,Barnacle,BARSPP,2.519212976,6,153,3.921568627
BASHAR,T1,2018,Rockweed,FUCSPP,1.742773479,77,153,50.32679739
BASHAR,T1,2018,Sea Lettuce,ULVLAC,1.753139684,3,153,1.960784314
BASHAR,T1,2018,Fucus epibiont,FUCEPI,1.363927744,13,153,8.496732026
BASHAR,T1,2018,Irish Moss/False Irish Moss,CHOMAS,0.85971566,8,153,5.22875817
BASHAR,T2,2018,Crustose non-coralline,NONCOR,4.480160526,9,151,5.960264901
BASHAR,T2,2018,Rock,ROCK,4.344087139,20,151,13.24503311
BASHAR,T2,2018,Other Algae - Green,ALGGRE,3.446184701,6,151,3.973509934
BASHAR,T2,2018,Water,WATER,0.991599577,5,151,3.311258278
BASHAR,T2,2018,Barnacle,BARSPP,2.928545095,8,151,5.298013245
BASHAR,T2,2018,Bolt,BOLT,2.63792704,2,151,1.324503311
BASHAR,T2,2018,Rockweed,FUCSPP,1.87892841,80,151,52.98013245
BASHAR,T2,2018,Irish Moss/False Irish Moss,CHOMAS,1.004708234,7,151,4.635761589
BASHAR,T2,2018,Fucus epibiont,FUCEPI,1.479754058,10,151,6.622516556
BASHAR,T2,2018,Sea Lettuce,ULVLAC,1.670088505,3,151,1.986754967
BASHAR,T2,2018,Articulated corallines,ARTCOR,1.01655805,1,151,0.662251656
BASHAR,T3,2018,Rock,ROCK,4.380814004,13,157,8.280254777
BASHAR,T3,2018,Crustose non-coralline,NONCOR,4.331984832,17,157,10.82802548
BASHAR,T3,2018,Water,WATER,3.749101927,4,157,2.547770701
BASHAR,T3,2018,Other Algae - Green,ALGGRE,3.51275222,11,157,7.006369427
BASHAR,T3,2018,Barnacle,BARSPP,2.861909638,26,157,16.56050955
BASHAR,T3,2018,Rockweed,FUCSPP,1.632042821,74,157,47.13375796
BASHAR,T3,2018,Fucus epibiont,FUCEPI,1.627279361,7,157,4.458598726
BASHAR,T3,2018,Bolt,BOLT,1.158831933,2,157,1.27388535
BASHAR,T3,2018,Irish Moss/False Irish Moss,CHOMAS,1.136346611,2,157,1.27388535
BASHAR,T3,2018,Articulated corallines,ARTCOR,1.031100797,1,157,0.636942675
BASHAR,T1,2022,Crustose non-coralline,NONCOR,4.119432567,31,149,20.80536913
