"Network","UnitCode","SiteCode","StartDate","Year","QAQC","PlotName","CommunityType","ScientificName","CommonName","SpeciesCode","Damage","No.Damage","Subsampled"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,3,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,6,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,2,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,2,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A1","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,2,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,1,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,6,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,9,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,41,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,1,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,11,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,3,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,9,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,5,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A1","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,2,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,16,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A1","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,4,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,5,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A1","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,2,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,1,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A1","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,1,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A1","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,2,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A1","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",7,35,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A1","Ascophyllum","Littorina saxatilis","Rough periwinkle","LITSAX",1,1,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,8,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,25,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A2","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,3,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",4,19,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A2","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,3,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,4,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,29,"No"
"NETN","ACAD","BASHAR","2014-06-21",2014,FALSE,"A2","Ascophyllum","Littorina saxatilis","Rough periwinkle","LITSAX",0,1,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",1,28,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,12,"No"
"NETN","ACAD","BASHAR","2015-06-12",2015,FALSE,"A2","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",1,0,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",5,52,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",3,50,"No"
"NETN","ACAD","BASHAR","2016-06-28",2016,FALSE,"A2","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,1,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,65,"No"
"NETN","ACAD","BASHAR","2017-06-25",2017,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,20,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",4,75,"No"
"NETN","ACAD","BASHAR","2018-05-18",2018,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",4,31,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,70,"No"
"NETN","ACAD","BASHAR","2019-06-11",2019,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,23,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A2","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,5,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,23,"No"
"NETN","ACAD","BASHAR","2021-07-18",2021,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,39,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A2","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,1,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,67,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,30,"No"
"NETN","ACAD","BASHAR","2022-05-22",2022,FALSE,"A2","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A2","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,3,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",2,46,"No"
"NETN","ACAD","BASHAR","2023-06-12",2023,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,2,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A2","Ascophyllum","Carcinus maenas","Green crab","CARMAE",0,2,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A2","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",6,78,"No"
"NETN","ACAD","BASHAR","2024-06-29",2024,FALSE,"A2","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",1,16,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",0,16,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",0,34,"No"
"NETN","ACAD","BASHAR","2013-06-21",2013,FALSE,"A3","Ascophyllum","Nucella lapillus","Dogwhelk","NUCLAP",0,2,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A3","Ascophyllum","Littorina littorea","Common periwinkle","LITLIT",2,14,"No"
"NETN","ACAD","BASHAR","2013-06-24",2013,TRUE,"A3","Ascophyllum","Littorina obtusata","Smooth periwinkle","LITOBT",5,23,"No"
