"SiteCode","Year","CommunityType","CoverType","ScientificName","CoverCode","avg_cover","median_cover","min_cover","max_cover","q25_cover","q75_cover"
"BASHAR",2018,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",6.4,7,0,14,3,8
"BASHAR",2018,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0.4,0,0,1,0,1
"BASHAR",2018,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0,0,0,0,0,0
"BASHAR",2018,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",1,0,0,4,0,1
"BASHAR",2018,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0.4,0,0,2,0,0
"BASHAR",2018,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",76,81,49,87,78,85
"BASHAR",2018,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0.4,0,0,2,0,0
"BASHAR",2018,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",13.6,10,4,37,7,10
"BASHAR",2018,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Barnacle","Semibalanus balanoides","BARSPP",8.4,10,0,12,9,11
"BASHAR",2018,"Barnacle","Crustose non-coralline","Calothrix","NONCOR",0.4,0,0,1,0,1
"BASHAR",2018,"Barnacle","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2018,"Barnacle","Fucus spp. (Rockweed)","Fucus","FUCSPP",80.6,84,73,85,76,85
"BASHAR",2018,"Fucus","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Barnacle","Semibalanus balanoides","BARSPP",3.4,3,1,6,2,5
"BASHAR",2018,"Fucus","Crustose non-coralline","Calothrix","NONCOR",0.6,0,0,2,0,1
"BASHAR",2018,"Fucus","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2018,"Fucus","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Fucus","Red algae group","Rhodophyta","REDGRP",1.4,0,0,5,0,2
"BASHAR",2018,"Fucus","Fucus spp. (Rockweed)","Fucus","FUCSPP",90.6,90,86,99,88,90
"BASHAR",2018,"Red Algae","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Red Algae","Barnacle","Semibalanus balanoides","BARSPP",0.2,0,0,1,0,0
"BASHAR",2018,"Red Algae","Crustose non-coralline","Calothrix","NONCOR",0.2,0,0,1,0,0
"BASHAR",2018,"Red Algae","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",1,1,0,2,0,2
"BASHAR",2018,"Red Algae","Red algae group","Gigartinales","REDGRP",57.4,53,44,75,45,70
"BASHAR",2018,"Red Algae","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",0,0,0,0,0,0
"BASHAR",2018,"Red Algae","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2018,"Red Algae","Red algae group","Rhodophyta","REDGRP",0.2,0,0,1,0,0
"BASHAR",2018,"Red Algae","Fucus spp. (Rockweed)","Fucus","FUCSPP",12.4,13,0,36,0,13
"BASHAR",2022,"Ascophyllum","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",7,4,0,17,3,11
"BASHAR",2022,"Ascophyllum","Barnacle","Semibalanus balanoides","BARSPP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Crustose non-coralline","Calothrix","NONCOR",0.2,0,0,1,0,0
"BASHAR",2022,"Ascophyllum","Fucus spp. (Rockweed)","Elachista fucicola","FUCSPP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Red algae group","Gigartinales","REDGRP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","A. nodosum (knotted wrack)","Ascophyllum nodosum","ASCNOD",86.6,87,81,92,85,88
"BASHAR",2022,"Ascophyllum","Mussel","Mytilus edulis","MUSSPP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Red algae group","Rhodophyta","REDGRP",0,0,0,0,0,0
"BASHAR",2022,"Ascophyllum","Fucus spp. (Rockweed)","Fucus","FUCSPP",5.4,7,0,9,3,8
"BASHAR",2022,"Barnacle","A. nodosum (knotted wrack)","Vertebrata lanosa/Elachista fucicola","ASCNOD",0,0,0,0,0,0
