Plot Title:HOBO_temp_example.csv,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20672839, SEN S/N: 20672839)",Coupler Detached (LGR S/N: 20672839),Coupler Attached (LGR S/N: 20672839),Stopped (LGR S/N: 20672839),End Of File (LGR S/N: 20672839)
1,7/18/2021 10:26,58.842,Logged,,,
2,7/18/2021 11:26,58.712,,,,
3,7/18/2021 12:26,58.109,,,,
4,7/18/2021 13:26,56.208,,,,
5,7/18/2021 14:26,56.208,,,,
6,7/18/2021 15:26,55.342,,,,
7,7/18/2021 16:26,55.602,,,,
8,7/18/2021 17:26,55.949,,,,
9,7/18/2021 18:26,55.602,,,,
10,7/18/2021 19:26,55.733,,,,
11,7/18/2021 20:26,55.819,,,,
12,7/18/2021 21:26,55.776,,,,
13,7/18/2021 22:26,56.469,,,,
14,7/18/2021 23:26,56.642,,,,
15,7/19/2021 0:26,56.556,,,,
16,7/19/2021 1:26,55.863,,,,
17,7/19/2021 2:26,55.819,,,,
18,7/19/2021 3:26,55.733,,,,
19,7/19/2021 4:26,55.733,,,,
20,7/19/2021 5:26,55.733,,,,
21,7/19/2021 6:26,55.949,,,,
22,7/19/2021 7:26,55.776,,,,
23,7/19/2021 8:26,56.035,,,,
24,7/19/2021 9:26,56.079,,,,
25,7/19/2021 10:26,56.901,,,,
26,7/19/2021 11:26,63.09,,,,
27,7/19/2021 12:26,63.732,,,,
28,7/19/2021 13:26,57.42,,,,
29,7/19/2021 14:26,56.685,,,,
30,7/19/2021 15:26,56.383,,,,
31,7/19/2021 16:26,56.469,,,,
32,7/19/2021 17:26,56.512,,,,
33,7/19/2021 18:26,56.815,,,,
34,7/19/2021 19:26,56.122,,,,
35,7/19/2021 20:26,57.074,,,,
36,7/19/2021 21:26,56.469,,,,
37,7/19/2021 22:26,56.122,,,,
38,7/19/2021 23:26,56.772,,,,
39,7/20/2021 0:26,57.979,,,,
40,7/20/2021 1:26,57.807,,,,
41,7/20/2021 2:26,56.469,,,,
42,7/20/2021 3:26,56.728,,,,
43,7/20/2021 4:26,56.295,,,,
44,7/20/2021 5:26,56.035,,,,
45,7/20/2021 6:26,56.079,,,,
46,7/20/2021 7:26,56.079,,,,
47,7/20/2021 8:26,56.165,,,,
48,7/20/2021 9:26,56.469,,,,
49,7/20/2021 10:26,57.031,,,,
50,7/20/2021 11:26,57.979,,,,
51,7/20/2021 12:26,70.372,,,,
52,7/20/2021 13:26,76.071,,,,
53,7/20/2021 14:26,59.056,,,,
54,7/20/2021 15:26,58.066,,,,
55,7/20/2021 16:26,56.858,,,,
56,7/20/2021 17:26,57.936,,,,
57,7/20/2021 18:26,57.679,,,,
58,7/20/2021 19:26,56.944,,,,
59,7/20/2021 20:26,55.602,,,,
60,7/20/2021 21:26,55.863,,,,
61,7/20/2021 22:26,55.733,,,,
62,7/20/2021 23:26,56.642,,,,
