ParkUnit,PlotCode,SampleDate,IsQAQC,SampleYear,TagCode,TSN,ScientificName,DBHcm,TreeStatusCode,CrownClassCode,DecayClassCode
MIMA,12,6/16/2025,FALSE,2025,13,183385,Pinus strobus,24.9,AS,5,NA
MIMA,12,6/16/2025,FALSE,2025,12,28728,Acer rubrum,10.9,AB,5,NA
MIMA,12,6/16/2025,FALSE,2025,11,28728,Acer rubrum,18.8,AS,3,NA
MIMA,12,6/16/2025,FALSE,2025,2,28728,Acer rubrum,51.2,AS,3,NA
MIMA,12,6/16/2025,FALSE,2025,10,28728,Acer rubrum,38.2,AS,3,NA
MIMA,12,6/16/2025,FALSE,2025,7,28728,Acer rubrum,22.5,AS,4,NA
MIMA,12,6/16/2025,FALSE,2025,5,28728,Acer rubrum,26.4,DS,NA,1
MIMA,12,6/16/2025,FALSE,2025,9,28728,Acer rubrum,42.9,DB,NA,3
MIMA,12,6/16/2025,FALSE,2025,1,28728,Acer rubrum,12.3,DB,NA,2
MIMA,12,6/16/2025,FALSE,2025,3,28728,Acer rubrum,49,DB,NA,3
MIMA,12,6/16/2025,FALSE,2025,14,19408,Quercus rubra,14.4,AS,6,NA
MIMA,12,6/16/2025,FALSE,2025,15,32928,Fraxinus,10.2,DM,NA,1
MIMA,13,6/17/2025,FALSE,2025,11,19487,Betula lenta,30.7,AS,4,NA
MIMA,13,6/17/2025,FALSE,2025,13,28728,Acer rubrum,16.5,AS,5,NA
MIMA,13,6/17/2025,FALSE,2025,15,19049,Ulmus americana,26.5,AS,6,NA
MIMA,13,6/17/2025,FALSE,2025,16,32929,Fraxinus pennsylvanica,23.3,AS,4,NA
MIMA,13,6/17/2025,FALSE,2025,14,19447,Quercus velutina,56.5,AS,3,NA
MIMA,13,6/17/2025,FALSE,2025,9,19447,Quercus velutina,54.3,AS,3,NA
MIMA,13,6/17/2025,FALSE,2025,4,19049,Ulmus americana,33,AS,4,NA
MIMA,13,6/17/2025,FALSE,2025,19,28728,Acer rubrum,12.2,AS,5,NA
MIMA,13,6/17/2025,FALSE,2025,5,19487,Betula lenta,12.8,DB,NA,3
MIMA,13,6/17/2025,FALSE,2025,20,19487,Betula lenta,10.3,DS,NA,1
MIMA,13,6/17/2025,FALSE,2025,21,28728,Acer rubrum,11.7,AS,5,NA
MIMA,13,6/17/2025,FALSE,2025,22,19049,Ulmus americana,12.4,AS,6,NA
MIMA,13,6/17/2025,FALSE,2025,23,19487,Betula lenta,10,RS,5,NA
MIMA,16,6/17/2025,FALSE,2025,1,19447,Quercus robur,443,AS,3,NA
MIMA,16,6/17/2025,FALSE,2025,21,28728,Acer rubrum,19,AS,4,NA
MIMA,16,6/17/2025,FALSE,2025,16,32931,Fraxinus americana,24.8,DS,NA,1
MIMA,16,6/17/2025,FALSE,2025,2,19447,Quercus velutina,29.1,AS,3,NA
MIMA,16,6/17/2025,FALSE,2025,7,19497,Betula populifolia,17.9,DS,NA,2
MIMA,16,6/17/2025,FALSE,2025,9,32931,Fraxinus americana,16,DS,NA,1
MIMA,16,6/17/2025,FALSE,2025,11,32931,Fraxinus americana,28.2,DS,NA,1
MIMA,16,6/17/2025,FALSE,2025,12,24764,Prunus serotina,20.2,DS,NA,3
MIMA,16,6/17/2025,FALSE,2025,10,32931,Fraxinus americana,19.5,DS,NA,1
MIMA,16,6/17/2025,FALSE,2025,8,32931,Fraxinus americana,20.5,DS,NA,1
MIMA,16,6/17/2025,FALSE,2025,15,24764,Prunus serotina,16.5,DS,NA,3
MIMA,16,6/17/2025,FALSE,2025,13,24764,Prunus serotina,16.1,DS,NA,3
MIMA,16,6/17/2025,FALSE,2025,19,24764,Prunus serotina,10.1,DS,NA,3
MIMA,16,6/17/2025,FALSE,2025,22,183385,Pinus strobus,13.2,AS,5,NA
MIMA,20,6/18/2025,FALSE,2025,10,19497,Betula populifolia,18.9,AL,5,NA
MIMA,20,6/18/2025,FALSE,2025,14,28728,Acer rubrum,18.5,AS,6,NA
MIMA,20,6/18/2025,FALSE,2025,12,565478,Salix alba,81.5,AS,2,NA
MIMA,20,6/18/2025,FALSE,2025,11,19497,Betula populifolia,11.5,AS,5,NA
MIMA,20,6/18/2025,FALSE,2025,15,28728,Acer rubrum,19.3,AS,5,NA
MIMA,20,6/18/2025,FALSE,2025,16,28728,Acer rubrum,15.4,AS,6,NA
MIMA,20,6/18/2025,FALSE,2025,17,28728,Acer rubrum,13.9,AS,6,NA
MIMA,20,6/18/2025,FALSE,2025,6,19497,Betula populifolia,12.5,DB,NA,2
MIMA,20,6/18/2025,FALSE,2025,2,32931,Fraxinus americana,30,DB,NA,PM
MIMA,20,6/18/2025,FALSE,2025,7,19497,Betula populifolia,12.9,DB,NA,2
MIMA,20,6/18/2025,FALSE,2025,18,28728,Acer rubrum,14.7,AL,5,NA
MIMA,20,6/18/2025,FALSE,2025,19,565478,Salix alba,12.8,AS,5,NA
MIMA,20,6/18/2025,FALSE,2025,20,28728,Acer rubrum,11.3,AS,5,NA
MIMA,14,6/18/2025,FALSE,2025,16,19447,Quercus velutina,17,AS,5,NA
MIMA,14,6/18/2025,FALSE,2025,3,183385,Pinus strobus,16.4,AS,5,NA
MIMA,14,6/18/2025,FALSE,2025,18,183385,Pinus strobus,10.5,AS,5,NA
MIMA,14,6/18/2025,FALSE,2025,19,19447,Quercus velutina,27.4,AS,3,NA
