TSN,AcceptedTSN,ScientificName,CommonName,Order,Family,Genus,Species,IsExotic
-9999999948,-9999999948,Quercus (White group),oaks (white),Fagales,Fagaceae,Quercus (White group),NOT DETERMINED,FALSE
-9999999947,-9999999947,Quercus (Red group),oaks (red),Fagales,Fagaceae,Quercus (Red group),NOT DETERMINED,FALSE
-9999999944,-9999999944,Unknown Hardwood,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
-9999999943,-9999999943,Unknown Conifer,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
-9999999942,-9999999942,Unknown Tree - 06,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
-9999999941,-9999999941,Unknown Tree - 05,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
-9999999940,-9999999940,Unknown Tree - 04,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
-9999999939,-9999999939,Unknown Tree - 03,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
-9999999938,-9999999938,Unknown Tree - 02,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
-9999999937,-9999999937,Unknown Tree - 01,NA,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,NOT DETERMINED,FALSE
18032,18032,Abies balsamea,balsam fir,Pinales,Pinaceae,Abies,balsamea,FALSE
18033,18033,Picea,spruce,Pinales,Pinaceae,Picea,NOT DETERMINED,FALSE
18034,18034,Picea rubens,red spruce,Pinales,Pinaceae,Picea,rubens,FALSE
18035,18035,Pinus,pine,Pinales,Pinaceae,Pinus,NOT DETERMINED,FALSE
18037,18037,Pinus taeda,loblolly pine,Pinales,Pinaceae,Pinus,taeda,FALSE
18046,18046,Chamaecyparis thyoides,Atlantic white cedar,Cupressales,Cupressaceae,Chamaecyparis,thyoides,FALSE
18048,18048,Juniperus virginiana,eastern redcedar,Cupressales,Cupressaceae,Juniperus,virginiana,FALSE
18070,18070,Magnolia virginiana,sweetbay,Magnoliales,Magnoliaceae,Magnolia,virginiana,FALSE
18071,18071,Magnolia acuminata,cucumber-tree,Magnoliales,Magnoliaceae,Magnolia,acuminata,FALSE
18074,18074,Magnolia grandiflora,Southern magnolia,Magnoliales,Magnoliaceae,Magnolia,grandiflora,FALSE
18077,18077,Magnolia tripetala,umbrella-tree,Magnoliales,Magnoliaceae,Magnolia,tripetala,FALSE
18086,18086,Liriodendron tulipifera,tuliptree,Magnoliales,Magnoliaceae,Liriodendron,tulipifera,FALSE
18117,18117,Asimina triloba,pawpaw,Magnoliales,Annonaceae,Asimina,triloba,FALSE
18148,18148,Persea,bay,Laurales,Lauraceae,Persea,NOT DETERMINED,FALSE
18149,18149,Persea borbonia,redbay,Laurales,Lauraceae,Persea,borbonia,FALSE
18158,18158,Sassafras albidum,sassafras,Laurales,Lauraceae,Sassafras,albidum,FALSE
19020,19020,Platanus occidentalis,American sycamore,Proteales,Platanaceae,Platanus,occidentalis,FALSE
19027,19027,Liquidambar styraciflua,sweetgum,Saxifragales,Altingiaceae,Liquidambar,styraciflua,FALSE
19040,19040,Celtis occidentalis,common hackberry,Rosales,Cannabaceae,Celtis,occidentalis,FALSE
19042,19042,Celtis laevigata,sugarberry,Rosales,Cannabaceae,Celtis,laevigata,FALSE
19048,19048,Ulmus,elm,Rosales,Ulmaceae,Ulmus,NOT DETERMINED,FALSE
19049,19049,Ulmus americana,American elm,Rosales,Ulmaceae,Ulmus,americana,FALSE
19050,19050,Ulmus rubra,slippery elm,Rosales,Ulmaceae,Ulmus,rubra,FALSE
19051,19051,Ulmus alata,winged elm,Rosales,Ulmaceae,Ulmus,alata,FALSE
19056,19056,Ulmus procera,English elm,Rosales,Ulmaceae,Ulmus,procera,TRUE
19066,19066,Morus alba,white mulberry,Rosales,Moraceae,Morus,alba,TRUE
19070,19070,Morus rubra,red mulberry,Rosales,Moraceae,Morus,rubra,FALSE
19107,19107,Broussonetia papyrifera,paper mulberry,Rosales,Moraceae,Broussonetia,papyrifera,TRUE
19223,19223,Carya,hickory,Fagales,Juglandaceae,Carya,NOT DETERMINED,FALSE
19227,19227,Carya cordiformis,bitternut hickory,Fagales,Juglandaceae,Carya,cordiformis,FALSE
19231,19231,Carya glabra,pignut hickory,Fagales,Juglandaceae,Carya,glabra,FALSE
19235,19235,Carya laciniosa,shellback hickory,Fagales,Juglandaceae,Carya,laciniosa,FALSE
19242,19242,Carya ovata,shagbark hickory,Fagales,Juglandaceae,Carya,ovata,FALSE
19244,19244,Carya pallida,sand hickory,Fagales,Juglandaceae,Carya,pallida,FALSE
19247,19247,Carya tomentosa,mockernut hickory,Fagales,Juglandaceae,Carya,tomentosa,FALSE
19248,19248,Juglans,walnut,Fagales,Juglandaceae,Juglans,NOT DETERMINED,FALSE
19250,19250,Juglans cinerea,butternut,Fagales,Juglandaceae,Juglans,cinerea,FALSE
19254,19254,Juglans nigra,black walnut,Fagales,Juglandaceae,Juglans,nigra,FALSE
19276,19276,Quercus,oaks,Fagales,Fagaceae,Quercus,NOT DETERMINED,FALSE
19277,19277,Quercus falcata,southern red oak,Fagales,Fagaceae,Quercus,falcata,FALSE
19279,19279,Quercus michauxii,swamp chestnut oak,Fagales,Fagaceae,Quercus,michauxii,FALSE
19280,19280,Quercus nigra,water oak,Fagales,Fagaceae,Quercus,nigra,FALSE
19281,19281,Quercus palustris,pin oak,Fagales,Fagaceae,Quercus,palustris,FALSE
19282,19282,Quercus phellos,willow oak,Fagales,Fagaceae,Quercus,phellos,FALSE
