SiteCode,SiteName,UnitCode,SubUnitCode,EventDate,SiteType,Project,QCtype,SampleDepth_m,Parameter,Value,ValueFlag,FlagComments
ACBUBL,Bubble Pond,ACAD,NA,5/23/2006,Lake,NETN_LS,0,0.995,DO_mgL,10.37,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/23/2006,Lake,NETN_LS,0,0.995,DOsat_pct,99.2,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/23/2006,Lake,NETN_LS,0,0.995,SpCond_uScm,29,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/23/2006,Lake,NETN_LS,0,0.995,Temp_C,13.39,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/23/2006,Lake,NETN_LS,0,0.995,Temp_F,56.102,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/23/2006,Lake,NETN_LS,0,0.995,pH,6.57,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2006,Lake,NETN_LS,0,0.503,DO_mgL,8.98,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2006,Lake,NETN_LS,0,0.503,DOsat_pct,97.8,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2006,Lake,NETN_LS,0,0.503,SpCond_uScm,27,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2006,Lake,NETN_LS,0,0.503,Temp_C,19.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2006,Lake,NETN_LS,0,0.503,Temp_F,67.1,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2006,Lake,NETN_LS,0,0.503,pH,6.515,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2006,Lake,NETN_LS,0,1.5405,DO_mgL,8.235,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2006,Lake,NETN_LS,0,1.5405,DOsat_pct,97.85,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2006,Lake,NETN_LS,0,1.5405,SpCond_uScm,27,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2006,Lake,NETN_LS,0,1.5405,Temp_C,24.045,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2006,Lake,NETN_LS,0,1.5405,Temp_F,75.281,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/20/2006,Lake,NETN_LS,0,1.5405,pH,6.61,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/10/2006,Lake,NETN_LS,0,0.502,DO_mgL,8.445,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/10/2006,Lake,NETN_LS,0,0.502,DOsat_pct,96.95,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/10/2006,Lake,NETN_LS,0,0.502,SpCond_uScm,28,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/10/2006,Lake,NETN_LS,0,0.502,Temp_C,22.205,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/10/2006,Lake,NETN_LS,0,0.502,Temp_F,71.969,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/10/2006,Lake,NETN_LS,0,0.502,pH,6.62,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/26/2006,Lake,NETN_LS,0,1.072,DO_mgL,9.16,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/26/2006,Lake,NETN_LS,0,1.072,DOsat_pct,94.1,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/26/2006,Lake,NETN_LS,0,1.072,SpCond_uScm,28,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/26/2006,Lake,NETN_LS,0,1.072,Temp_C,16.66,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/26/2006,Lake,NETN_LS,0,1.072,Temp_F,61.988,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/26/2006,Lake,NETN_LS,0,1.072,pH,6.12,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/17/2006,Lake,NETN+ACID,0,0.967,DO_mgL,10.17,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/17/2006,Lake,NETN+ACID,0,0.967,DOsat_pct,95.4,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/17/2006,Lake,NETN+ACID,0,0.967,SpCond_uScm,29,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/17/2006,Lake,NETN+ACID,0,0.967,Temp_C,12.49,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/17/2006,Lake,NETN+ACID,0,0.967,Temp_F,54.482,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/17/2006,Lake,NETN+ACID,0,0.967,pH,6.56,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/24/2007,Lake,NETN_LS,0,0.4995,DO_mgL,10.845,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/24/2007,Lake,NETN_LS,0,0.4995,DOsat_pct,101.15,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/24/2007,Lake,NETN_LS,0,0.4995,SpCond_uScm,32,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/24/2007,Lake,NETN_LS,0,0.4995,Temp_C,12.215,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/24/2007,Lake,NETN_LS,0,0.4995,Temp_F,53.987,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,5/24/2007,Lake,NETN_LS,0,0.4995,pH,5.63,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2007,Lake,NETN_LS,0,0.517,DO_mgL,9.26,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2007,Lake,NETN_LS,0,0.517,DOsat_pct,99,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2007,Lake,NETN_LS,0,0.517,SpCond_uScm,32,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2007,Lake,NETN_LS,0,0.517,Temp_C,18.585,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2007,Lake,NETN_LS,0,0.517,Temp_F,65.453,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,6/21/2007,Lake,NETN_LS,0,0.517,pH,5.745,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,DO_mgL,8.92,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,DOsat_pct,96.75,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,SpCond_uScm,33.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,Temp_C,19.315,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,Temp_F,66.767,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,7/12/2007,Lake,NETN_LS,0,0.5025,pH,5.765,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,DO_mgL,8.51,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,DOsat_pct,95.3,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,0,SpCond_uScm,30.7,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,Temp_C,20.9,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,1,Temp_F,69.62,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,8/30/2007,Lake,NETN_LS,0,0,pH,7.02,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,DO_mgL,9.39,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,DOsat_pct,100.6,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/27/2007,Lake,NETN_LS,0,0.5,SpCond_uScm,34,NA,NA
